Title,ID,Posted Date,Office 1,From,Area,Procurement,Name of Contractor,To,Date of Contract,Amount
Professional Contract Service for Comprehensive National Risk Assessment & Mapping in Timor Leste,PS-UNDP 004/2012,27/12/2012,UNDP Country Office ,Timor Leste,Services,RFP - Request for Proposal,Asian Disaster Preparedness Center (ADPC),Thailand,12/12/2012,113512.0
PROCUREMENT OF WATER SUPPLY SYSTEM FOR SENAFE HOSPITAL AND DEWATERING PUMPS FOR GASH BARKA REGION,ERI10-00002863,18/12/2012,UNDP COUNTRY OFFICE ,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,PHAESUN,Germany,13/12/2012,7962.0
PROCUREMENT OF WATER SUPPLY SYSTEM FOR SENAFE HOSPITAL AND DEWATERING PUMPS FOR GASH BARKA REGION,ERI10-00002864,18/12/2012,UNDP COUNTRY OFFICE ,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,MG WORLDEWIDE PVT LTD,India,07/12/2012,63651.0
PROCUREMENT OF WATER EQUIPMENT AND INSTRUMENTS FOR WRD OF THE STATE OF ERITREA,ERI-00002853,18/12/2012,ERITREA COUNTRY OFFICE ,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,INTERTECH BATINORM,Lebanon,05/12/2012,49505.0
PROCUREMENT OF WATER EQUIPMENT AND INSTRUMENTS FOR WRD OF THE STATE OF ERITREA,PO # ERI10-0000002856,18/12/2012,UNDP COUNTRY OFFICE ,Eritrea,"Water Supply
(potable)",ITB - Invitation to Bid,WAGTECH PROJECTS LIMITED,United Kingdom,05/12/2012,371465.0
Revision of the HACT Framework,PSC2012/03,17/12/2012,UN Development Operations Coordination Office ,United States Of America,Services,RFP - Request for Proposal,KPMG LLP,United States Of America,11/12/2012,213766.0
"Civil works for the design and actual implementation of a green roof system on one of the buildings of the Lebanese Central Bank (BDL) in Beirut, Lebanon",12/127,11/12/2012,UNDP Country Office  ,Lebanon,Urban Dev’t.,ITB - Invitation to Bid,Green Studios SAL,Lebanon,11/12/2012,272800.0
"Supply and Installation of 29 stand-alone Photovoltaic systems for road lighting in Sultan Yaacoub Village in Bekaa, Lebanon",12/123,07/12/2012,UNDP Country Office ,Lebanon,Power,ITB - Invitation to Bid,Joint Venture “Energy Efficiency Group SAL and Maintenance Management Group SAL”,Lebanon,04/12/2012,57994.0
Long Term Agreement for the provision of Fuel to UNDP,LTA/PMS/12/001,04/12/2012,UNDP CO Sudan ,Sudan,Other,ITB - Invitation to Bid,Petronas Marketing Sudan Limited,Sudan,03/09/2012,300000.0
Long Term Agreement for Travel Management Services,LTA/OTA/12/002,04/12/2012,UNDP CO Sudan ,Sudan,Other,RFP - Request for Proposal,Olympia Travel Agency,Sudan,18/11/2012,300000.0
Procurement of Individual Consultancy Services of a Legal Consultant on Corruption in the Water Sector in Lebanon,12/125,23/11/2012,UNDP Country Office ,Lebanon,Consultants,O - Other,Tarek Majzoub,Lebanon,23/11/2012,11500.0
Procurement of Individual Consultancy Services of a Consultant to conduct Environmental and Social Impact Assessment (PCB Management Project),12/126,23/11/2012,UNDP Country Office ,Lebanon,Consultants,O - Other,Khalil Zein,Lebanon,23/11/2012,10000.0
Expansion of Communications Network of the Ministry of Justice to Gbarnga,UNDP/LBR/JSJP/010/2012,15/11/2012,Liberia ,Liberia,Telecommunications,DC - Direct Contracting,Global Communications (A Division of Hudaco Trading (Pty) Limited),South Africa,23/10/2012,858513.0
