Title,Contract Reference,Posted Date,Office,From,Area,Procurement Method,Name of Contractor,To,Date of Contract Signature,Amount
Title : Procurement of Early Recovery Advisor Services to work within the framework of both the international refugee response and UNDP programming to increase the awareness and support provided to host communities for enhanced social cohesion,13/87,31/07/2013,UNDP Country Office ,Lebanon,Consultants,O - Other,Muhammed Usman Qazi,Pakistan,30/07/2013,84000.0
Title : Consulting Services for EPU-UNDP-UNICEF ‘Study and Review of the Socio-Economic Status of Aboriginal Peoples (Orang Asli) in Peninsular Malaysia for the Formulation of a National Development Plan for the Orang Asli’,PSC2013-002,29/07/2013,UNDP Country Office ,Malaysia,Consultants,RFP - Request for Proposal,PE Research Sdn Bhd,Malaysia,25/07/2013,55425.0
Title : Secondment of Staff from an Audit firm to UNDP Afghanistan on a Long Term Basis,PSC2013_003,29/07/2013,UNDP Regional Audit Centre ,Afghanistan,Services,RFP - Request for Proposal,Anjum Asim Shahid Rahman,Afghanistan,09/07/2013,24000.0
"Title : Evaluation Consultancy for the Evaluation of HCFC phase-out management plan stage-1 for compliance with the 2013 and 2015 control targets  for Annex -C, Group-I substances in Malaysia",PSC2013-001,29/07/2013,UNDP Country Office ,Malaysia,Consultants,RFP - Request for Proposal,Emergent Ventures (Malaysia) Sdn Bhd,Malaysia,06/06/2013,63282.0
Title : Consultancy for National Corporate GHG Reporting Programme Project,PSC2013-004,29/07/2013,UNDP Country Office ,Malaysia,Consultants,RFP - Request for Proposal,Eco-Ideal Consulting Sdn Bhd,Malaysia,29/07/2013,94678.0
"Title : Procurement of Individual Consultant Services to conduct External Evaluation of the 2010-2014 UNDAF, and formulation of the 2015-2019 UNDAF/ISF 13/85",13/85,29/07/2013,UNDP Country Office ,Lebanon,Consultants,O - Other,Marc Jacquand,France,14/07/2013,26000.0
Title : Consultant to Support the Development of Code of Conduct of Local Councilors in Cambodia – A Two-tier Structure of Regional and Local Councils,IC/2013/07/037,25/07/2013,UNDP Country Office ,Cambodia,Consultants,O - Other,Mr. Paul Adrian MARTIN,United Kingdom,19/07/2013,10206.0
"Title : Construction of Police Center in Morta Village of Kagudli Town, South Kordofan State",DDRC002/13,14/07/2013,UNDP DDR ,Sudan,Construction,ITB - Invitation to Bid,Toug Trading and Engineering Company,Sudan,16/01/2013,101054.0
Title : Provision of Individual Economic Reintergration Services,DDRC007/13,14/07/2013,UNDP DDR ,Sudan,Services,RFP - Request for Proposal,Abrar Organization for Care of War Disabled (ABRAR),Sudan,30/06/2013,666213.0
Title : Provision of Individual Economic Reintegration Services,DDRC008/13,14/07/2013,UNDP DDR ,Sudan,Services,RFP - Request for Proposal,Global Health Foundation (GHF),Sudan,30/06/2013,350246.0
